Date,Close,Open,High,Low,Vol.,Change %
30-04-2025,3470.9,3472,3507.9,3452.3,791.14K,-0.0005
29-04-2025,3472.5,3455,3495,3430.4,1.58M,0.0084
28-04-2025,3443.5,3435,3457.8,3405,1.59M,-0.0013
25-04-2025,3448,3420,3477.8,3405,2.74M,0.0136
24-04-2025,3401.6,3401.1,3412.5,3387.7,2.25M,-0.0033
23-04-2025,3413,3365,3420.9,3337.3,3.54M,0.0297
22-04-2025,3314.4,3322.6,3333.9,3295,2.71M,-0.0022
21-04-2025,3321.6,3290.1,3354,3284.1,2.43M,0.0069
17-04-2025,3298.9,3245.5,3303.6,3218,2.93M,0.0077
16-04-2025,3273.8,3248.2,3278.1,3229,2.38M,0.0079
15-04-2025,3248.2,3314.4,3314.4,3238.6,3.51M,0.0052
11/4/2025,3231.5,3289.55,3298.95,3206,7.11M,-0.0047
9/4/2025,3246.6,3260.55,3270,3212.05,2.99M,-0.0141
8/4/2025,3292.95,3302.05,3349,3255.3,5.56M,0.0058
7/4/2025,3274.05,3100,3291.4,3056.05,6.62M,-0.0077
4/4/2025,3299.4,3362.6,3399.65,3295.5,5.32M,-0.0305
3/4/2025,3403.15,3491,3502,3396.15,4.54M,-0.0397
2/4/2025,3543.95,3544,3564.1,3530.05,1.76M,-0.0019
1/4/2025,3550.8,3572.7,3584,3525,2.62M,-0.0153
28-03-2025,3606.15,3651,3660.95,3591.9,2.05M,-0.0123
27-03-2025,3651.2,3614.85,3663,3610.5,2.53M,0.0042
26-03-2025,3635.8,3647.75,3680.5,3625.85,1.73M,-0.006
25-03-2025,3657.75,3645,3710,3638,3.14M,0.0079
24-03-2025,3628.95,3600,3649.75,3566.6,1.83M,0.0142
21-03-2025,3578.1,3475,3616.25,3465,4.16M,0.0042
20-03-2025,3563.15,3512,3578.95,3512,2.85M,0.0189
19-03-2025,3497.1,3547,3547,3462.75,3.05M,-0.0156
18-03-2025,3552.45,3502.35,3556.95,3478.45,3.07M,0.0157
17-03-2025,3497.7,3489,3530.45,3477.35,2.69M,-0.0038
13-03-2025,3511.05,3502.3,3524.3,3484.1,1.69M,0.0014
12/3/2025,3506.2,3565,3569.25,3486.85,3.17M,-0.0193
11/3/2025,3575.3,3558,3588.75,3537.65,2.00M,-0.004
10/3/2025,3589.65,3606.5,3622.1,3582.6,1.00M,-0.006
7/3/2025,3611.2,3600,3625,3574.4,2.05M,0.0027
6/3/2025,3601.6,3557,3609.45,3536.1,2.79M,0.0154
5/3/2025,3547.05,3520.85,3600.35,3520.85,2.50M,0.0042
4/3/2025,3532.05,3474,3551,3464.3,2.80M,0.0112
3/3/2025,3493.05,3485,3523.25,3476.15,4.99M,0.0028
28-02-2025,3483.25,3584.95,3600,3457,7.09M,-0.0358
27-02-2025,3612.55,3611.7,3638,3600.7,3.82M,-0.0047
25-02-2025,3629.55,3625,3658,3621.25,4.10M,-0.0125
24-02-2025,3675.6,3743.15,3763.2,3670,2.51M,-0.0292
21-02-2025,3786,3776.1,3817,3775,1.83M,0.0017
20-02-2025,3779.4,3761.5,3788,3751.3,2.89M,-0.0012
19-02-2025,3784.1,3872.2,3874.95,3768.15,4.37M,-0.023
18-02-2025,3873.2,3898.4,3924.4,3864.5,2.15M,-0.008
